forecast_day,train_days,use_vst,use_lars,runtime_seconds
2026-07-19,56,True,True,33.2364718997851
2026-07-20,56,True,True,32.65253510000184
2026-07-21,56,True,True,33.20238620042801
2026-07-22,56,True,True,33.18261270038784
2026-07-23,56,True,True,32.564426799770445
2026-07-24,56,True,True,32.23104180023074
2026-07-25,56,True,True,32.220899200066924
2026-07-26,56,True,True,32.52463410003111
2026-07-27,56,True,True,32.30785960005596
2026-07-28,56,True,True,32.03231219993904
2026-07-29,56,True,True,31.55015490017832
2026-07-30,56,True,True,31.519673999864608
2026-07-31,56,True,True,32.0043790997006
2026-08-01,56,True,True,32.188145299907774
2026-08-02,56,True,True,32.55928030004725
2026-08-03,56,True,True,32.42856820020825
2026-08-04,56,True,True,32.61492469999939
2026-08-05,56,True,True,32.14511389983818
2026-08-06,56,True,True,32.26471340004355
2026-08-07,56,True,True,32.00920529989526
2026-08-08,56,True,True,32.16441719979048
2026-08-09,56,True,True,31.98535830015317
2026-08-10,56,True,True,32.39572900021449
2026-08-11,56,True,True,32.53469490027055
2026-08-12,56,True,True,31.8991900999099
2026-08-13,56,True,True,32.29216059995815
2026-08-14,56,True,True,31.91387909976765
2026-08-15,56,True,True,32.857414099853486
2026-08-16,56,True,True,32.95695349993184
2026-08-17,56,True,True,32.17830070015043
2026-08-18,56,True,True,32.147687000222504
2026-08-19,56,True,True,33.16593300038949
2026-08-20,56,True,True,32.89584620017558
2026-08-21,56,True,True,32.51780360005796
2026-08-22,56,True,True,33.33692129980773
2026-08-23,56,True,True,33.66106009995565
2026-08-24,56,True,True,32.57408739998937
2026-08-25,56,True,True,32.66679030004889
2026-08-26,56,True,True,34.13459119992331
2026-08-27,56,True,True,35.38681309996173
2026-08-28,56,True,True,33.88019350031391
2026-08-29,56,True,True,32.98736960021779
2026-08-30,56,True,True,32.8966862000525
2026-08-31,56,True,True,33.06338600022718
2026-09-01,56,True,True,31.72771569993347
2026-09-02,56,True,True,32.695964499842376
2026-09-03,56,True,True,32.135273300111294
2026-09-04,56,True,True,32.84602939989418
2026-09-05,56,True,True,32.592640900053084
2026-09-06,56,True,True,32.65427160030231
2026-09-07,56,True,True,32.9913993999362
2026-09-08,56,True,True,32.63749359967187
2026-09-09,56,True,True,33.32770430017263
2026-09-10,56,True,True,32.82776510016993
2026-09-11,56,True,True,32.30437219981104
2026-09-12,56,True,True,31.893033800181
2026-09-13,56,True,True,32.18280389998108
2026-09-14,56,True,True,29.33430849993601
2026-09-15,56,True,True,28.90292470017448
2026-09-16,56,True,True,31.853097300045192
2026-09-17,56,True,True,31.88986729970202
2026-09-18,56,True,True,32.56460870010778
2026-09-19,56,True,True,33.61231559980661
2026-09-20,56,True,True,32.80782940005884
2026-09-21,56,True,True,32.5303706000559
2026-09-22,56,True,True,32.70074920030311
