group,delivery_days,matched_mtus,pearson,spearman
All delivery days,243,23324,0.9346258332332564,0.9586077268200537
Tuesday–Saturday,174,16704,0.960147780158163,0.9709798854737643
Sunday,34,3260,0.9129656759184096,0.9494929873912413
Monday,35,3360,0.8316464324366314,0.9008332226649018
Negative EPEX prices,71,1484,0.6974666683881944,0.7171614031625817
