month,negative_price_mtus,total_mtus,negative_price_share
2025-12,0,2976,0.0
2026-01,10,2976,0.003360215053763441
2026-02,23,2688,0.00855654761904762
2026-03,139,2972,0.04676985195154778
2026-04,492,2880,0.17083333333333334
2026-05,315,2976,0.10584677419354839
2026-06,199,2880,0.06909722222222223
2026-07,306,2976,0.1028225806451613
