forecast_day,train_days,use_vst,use_lars,runtime_seconds
2026-07-19,364,True,False,12.618032800033689
2026-07-20,364,True,False,13.136863899882885
2026-07-21,364,True,False,12.700581000186505
2026-07-22,364,True,False,13.429753200151026
2026-07-23,364,True,False,13.608091000001878
2026-07-24,364,True,False,12.95700619975105
2026-07-25,364,True,False,14.004377199802548
2026-07-26,364,True,False,13.081343300174922
2026-07-27,364,True,False,12.748425900004804
2026-07-28,364,True,False,13.048713200259954
2026-07-29,364,True,False,13.2763861999847
2026-07-30,364,True,False,13.110395200084897
2026-07-31,364,True,False,13.139251200016588
2026-08-01,364,True,False,13.568164799828082
2026-08-02,364,True,False,13.497863299679013
2026-08-03,364,True,False,13.335903299972417
2026-08-04,364,True,False,13.453097099903973
2026-08-05,364,True,False,13.283869900275022
2026-08-06,364,True,False,13.340697899926454
2026-08-07,364,True,False,13.02731279982254
2026-08-08,364,True,False,13.164612900000066
2026-08-09,364,True,False,13.40377359976992
2026-08-10,364,True,False,13.76423340011388
2026-08-11,364,True,False,13.292638599872587
2026-08-12,364,True,False,13.316001600120217
2026-08-13,364,True,False,13.318205999676138
2026-08-14,364,True,False,12.970798300113527
2026-08-15,364,True,False,13.421678099781277
2026-08-16,364,True,False,12.953681099694222
2026-08-17,364,True,False,13.785382100380955
2026-08-18,364,True,False,13.33735270006582
2026-08-19,364,True,False,13.565225900150836
2026-08-20,364,True,False,13.27468020003289
2026-08-21,364,True,False,13.229575700126588
2026-08-22,364,True,False,13.375458500348032
2026-08-23,364,True,False,13.246297700330617
2026-08-24,364,True,False,12.879770299885422
2026-08-25,364,True,False,13.279681999702008
2026-08-26,364,True,False,12.979193499777466
2026-08-27,364,True,False,12.849177400115876
2026-08-28,364,True,False,12.976217099931093
2026-08-29,364,True,False,12.813420000020416
2026-08-30,364,True,False,13.160886299796402
2026-08-31,364,True,False,13.169210799969733
2026-09-01,364,True,False,12.99432920012623
2026-09-02,364,True,False,13.268493500072507
2026-09-03,364,True,False,13.0517314998433
2026-09-04,364,True,False,13.493337799794972
2026-09-05,364,True,False,13.222396799828855
2026-09-06,364,True,False,13.31871229968965
2026-09-07,364,True,False,13.127703599631786
2026-09-08,364,True,False,13.121868199668825
2026-09-09,364,True,False,13.133646899834275
2026-09-10,364,True,False,12.653482699766757
2026-09-11,364,True,False,12.95448169996962
2026-09-12,364,True,False,13.006479499861598
2026-09-13,364,True,False,12.972626100294292
2026-09-14,364,True,False,13.117699799593538
2026-09-15,364,True,False,13.33105339994654
2026-09-16,364,True,False,13.004391200374812
2026-09-17,364,True,False,13.03085200022906
2026-09-18,364,True,False,10.592374400235713
2026-09-19,364,True,False,9.8097500000149
2026-09-20,364,True,False,10.178383900318297
2026-09-21,364,True,False,9.8413923997432
